submission_date,STATE,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
4/17/21,Illinois,1299575,1299575,0,3194,0,23945,21653,2292,25,2,4/18/21 13:41,Agree,Agree
4/17/21,West Virginia,148517,117164,31353,446,97,2780,,,3,0,4/18/21 13:41,Agree,Not agree
4/17/21,Arkansas,333407,,,221,60,5693,,,1,1,4/18/21 13:41,Not agree,Not agree
4/17/21,South Dakota,121056,,,200,84,1953,1589,364,1,0,4/18/21 13:41,N/A,Agree
4/17/21,Tennessee,834665,691135,143530,4181,230,12063,9682,2381,14,2,4/18/21 13:41,Agree,Agree
4/17/21,Texas,2839660,,,2430,773,48573,,,65,0,4/18/21 13:41,Not agree,Not agree
4/17/21,Iowa,359764,,,504,121,5881,,,3,3,4/18/21 13:41,Not agree,Not agree
4/17/21,Massachusetts,640102,630206,9896,1694,0,17318,17110,208,10,0,4/18/21 13:41,Agree,Agree
4/17/21,Florida,2121387,,,6196,1431,34404,,,74,5,4/18/21 13:41,Not agree,Not agree
4/17/21,Ohio,1052099,886836,165263,1987,512,18991,18991,0,0,0,4/18/21 13:41,Agree,Agree
4/17/21,Pennsylvania,1103616,932554,171062,5114,1029,25661,,,39,12,4/18/21 13:41,Agree,Not agree
4/17/21,Kansas,305861,247291,58570,0,0,4953,,,0,0,4/18/21 13:41,Agree,N/A
4/17/21,Utah,392509,392509,0,413,0,2164,2103,61,0,0,4/18/21 13:41,Agree,Agree
4/17/21,Alaska,63245,,,0,0,329,,,0,0,4/18/21 13:41,N/A,N/A
4/17/21,New Mexico,194868,,,0,0,4001,,,0,0,4/18/21 13:41,N/A,Not agree
4/17/21,Colorado,489028,458068,30960,1450,94,6188,5451,737,2,0,4/18/21 13:41,Agree,Agree
4/17/21,Georgia,1083300,868163,215137,1671,486,19757,17214,2543,39,5,4/18/21 13:41,Agree,Agree
4/17/21,Hawaii,30260,,,96,0,471,,,0,0,4/18/21 13:41,Not agree,Not agree
4/17/21,New York,1089638,,,4194,0,19165,,,24,0,4/18/21 13:41,Not agree,Not agree
4/17/21,Oklahoma,445464,351526,93938,261,46,6719,5690,1029,4,0,4/18/21 13:41,Agree,Agree
4/17/21,Alabama,522131,405192,116939,508,208,10790,8498,2292,51,9,4/18/21 13:41,Agree,Agree
4/17/21,Minnesota,554536,,,2419,410,7083,6620,463,10,0,4/18/21 13:41,N/A,Agree
4/17/21,Wisconsin,650949,589940,61009,868,141,7422,6711,711,10,2,4/18/21 13:41,Agree,Agree
4/17/21,Nebraska,216297,,,505,0,2213,,,8,0,4/18/21 13:41,Not agree,Not agree
4/17/21,Arizona,853050,791526,61524,480,114,17151,15229,1922,-2,-9,4/18/21 13:41,Agree,Agree
4/17/21,South Carolina,568248,474838,93410,968,352,9321,,,12,0,4/18/21 13:41,Agree,Not agree
4/17/21,Delaware,100777,94231,6546,455,64,1602,1461,141,6,1,4/18/21 13:41,Agree,Agree
4/17/21,Nevada,310235,,,0,0,5365,,,0,0,4/18/21 13:41,,
