submission_date,STATE,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
12/13/20,Illinois,848904,848904,0,7216,0,15339,14291,1048,107,-8,12/14/20 14:36,Agree,Agree
12/13/20,Montana,73303,73303,0,659,0,818,818,0,2,0,12/14/20 14:36,Agree,Agree
12/13/20,California,1551766,,,30334,0,20969,,,122,0,12/14/20 14:36,Not agree,Not agree
12/13/20,Alabama,295631,242830,52801,2790,495,4102,3624,478,0,0,12/14/20 14:36,Agree,Agree
12/13/20,New Hampshire,30956,,,712,226,603,,,3,0,12/14/20 14:36,Not agree,Not agree
12/13/20,Delaware,45460,43719,1741,584,22,816,719,97,1,0,12/14/20 14:36,Agree,Agree
12/13/20,Oregon,93853,92133,1720,1014,0,1155,1140,15,5,0,12/14/20 14:36,Agree,Agree
12/13/20,Kentucky,223104,182563,40541,2444,514,2207,2081,126,15,1,12/14/20 14:36,Agree,Agree
12/13/20,North Dakota,88067,85988,2079,196,11,1157,,,5,0,12/14/20 14:36,Agree,Not agree
12/13/20,Vermont,5753,,,127,3,95,,,0,0,12/14/20 14:36,Not agree,Not agree
12/13/20,Idaho,121179,101477,19702,547,36,1175,1058,117,6,1,12/14/20 14:36,Agree,Agree
12/13/20,Arizona,408442,392991,15451,5853,560,7357,6779,578,35,5,12/14/20 14:36,Agree,Agree
12/13/20,Indiana,425434,,,5898,0,6805,6495,310,47,10,12/14/20 14:36,Not agree,Agree
12/13/20,Maryland,236961,,,2314,0,5142,4978,164,25,1,12/14/20 14:36,N/A,Agree
12/13/20,New Jersey,440069,,,4693,539,17751,15883,1868,19,0,12/13/20 0:00,Not agree,Agree
12/13/20,Washington,202063,,,2328,0,2879,,,0,0,12/14/20 14:36,N/A,N/A
12/12/20,Montana,72644,72644,0,774,0,816,816,0,11,0,12/13/20 14:31,Agree,Agree
12/12/20,Virginia,281909,243919,37990,3294,772,4411,4006,405,2,1,12/13/20 14:31,Agree,Agree
12/12/20,Washington,199735,,,4181,0,2879,,,0,0,12/13/20 14:31,N/A,N/A
12/12/20,New Jersey,435376,,,6795,555,17732,15864,1868,70,0,12/12/20 0:00,Not agree,Agree
12/12/20,Nebraska,147688,,,811,0,1365,,,22,0,12/13/20 14:31,Not agree,Not agree
12/12/20,Wisconsin,465991,434016,31975,4624,565,4324,4041,283,58,8,12/13/20 14:31,Agree,Agree
12/12/20,Connecticut,146761,137791,8970,0,0,5363,4332,1031,0,0,12/13/20 14:31,Agree,Agree
12/12/20,Oregon,92839,91119,1720,1419,0,1150,1135,15,12,0,12/13/20 14:31,Agree,Agree
12/12/20,Minnesota,375398,,,4430,346,4418,4251,167,67,2,12/13/20 14:31,N/A,Agree
12/12/20,Idaho,120632,100966,19666,1022,138,1169,1053,116,18,1,12/13/20 14:31,Agree,Agree
12/12/20,Mississippi,179447,133527,45920,1500,903,4199,3524,675,19,14,12/13/20 14:31,Agree,Agree
12/12/20,Delaware,44876,43157,1719,0,0,815,718,97,0,0,12/13/20 14:31,Agree,Agree
12/12/20,Arizona,402589,387698,14891,8077,330,7322,6749,573,77,17,12/13/20 14:31,Agree,Agree
12/12/20,New Hampshire,30244,,,784,282,600,,,10,3,12/13/20 14:31,Not agree,Not agree
12/12/20,North Carolina,429776,399981,29795,6153,914,5796,5564,232,44,8,12/13/20 14:31,Agree,Agree
12/12/20,Michigan,465159,430780,34379,4813,327,11195,10662,533,230,24,12/13/20 14:31,Agree,Agree
12/12/20,Rhode Island,73687,,,946,0,1623,,,19,0,12/13/20 14:31,Not agree,N/A
12/12/20,South Dakota,90407,,,735,116,1243,1018,225,33,8,12/13/20 14:31,N/A,Agree
12/12/20,Arkansas,184252,,,2628,764,2911,,,36,5,12/13/20 14:31,Not agree,Not agree
12/12/20,Oklahoma,259028,217469,41559,3191,776,3508,3218,290,45,9,12/13/20 0:00,Agree,Agree
12/12/20,Ohio,553461,507325,46136,11252,1492,7477,6911,566,51,4,12/13/20 14:31,Agree,Agree
12/12/20,New York,413292,,,7146,0,10743,,,74,0,12/13/20 14:31,Not agree,Not agree
12/12/20,Hawaii,18861,,,196,0,269,,,2,0,12/13/20 14:31,Not agree,Not agree
12/12/20,Massachusetts,284793,274897,9896,4968,0,11265,11057,208,47,0,12/13/20 14:31,Agree,Agree
12/12/20,Pennsylvania,481118,440538,40580,11084,2569,12436,,,201,155,12/13/20 14:31,Agree,Not agree
12/12/20,Florida,1098341,,,10385,3063,19785,,,71,6,12/13/20 14:31,Not agree,Not agree
12/12/20,Iowa,255240,,,1639,403,3212,,,15,15,12/13/20 14:31,Not agree,Not agree
12/12/20,Texas,1464374,,,16372,2672,26688,,,227,0,12/13/20 0:00,Not agree,Not agree
12/12/20,Georgia,538040,471734,66306,6447,1617,10075,9204,871,44,15,12/13/20 14:31,Agree,Agree
12/12/20,Colorado,285634,273867,11767,3961,57,3871,3305,566,25,3,12/13/20 14:31,Agree,Agree
12/12/20,Tennessee,442953,402790,40163,6691,1344,5400,4849,551,73,11,12/13/20 14:31,Agree,Agree
12/12/20,Kansas,185294,158086,27208,0,0,2072,,,0,0,12/13/20 14:31,Agree,N/A
12/12/20,Alaska,39101,,,517,0,175,,,18,0,12/13/20 14:31,N/A,N/A
12/12/20,Utah,231821,231821,0,3692,0,1038,1020,18,13,0,12/13/20 14:31,Agree,Agree
12/12/20,West Virginia,62151,52020,10131,1514,298,966,,,28,10,12/13/20 14:31,Agree,Not agree
12/12/20,New Mexico,118358,,,1793,0,1913,,,24,0,12/13/20 14:31,N/A,Not agree
12/12/20,Louisiana,264191,,,0,0,6767,6465,302,0,0,12/13/20 14:31,Not agree,Agree
12/12/20,Nevada,183951,,,2641,0,2520,,,41,0,12/13/20 14:31,,
12/12/20,South Carolina,255835,235207,20628,3522,491,4858,,,26,5,4/14/21 13:28,Agree,Not agree
12/12/20,North Dakota,87871,85803,2068,281,10,1152,,,0,0,12/13/20 14:31,Agree,Not agree
12/12/20,Kentucky,220660,180633,40027,3540,954,2192,2067,125,24,9,12/13/20 14:31,Agree,Agree
12/12/20,Missouri,384364,,,2010,303,4503,,,22,0,12/13/20 4:31,Not agree,Not agree
12/12/20,Maine,15907,13930,1977,288,45,257,253,4,0,0,12/13/20 14:31,Agree,Agree
12/12/20,Illinois,841688,841688,0,8737,0,15232,14176,1056,165,39,12/13/20 14:31,Agree,Agree
12/12/20,Alabama,292841,240535,52306,4066,1410,4102,3624,478,16,4,12/13/20 14:31,Agree,Agree
12/12/20,Indiana,419536,,,7401,0,6758,6458,300,85,0,12/13/20 14:31,Not agree,Agree
12/12/20,California,1521432,,,35729,0,20847,,,225,0,12/13/20 14:31,Not agree,Not agree
12/12/20,Maryland,234647,,,2638,0,5117,4954,163,17,0,12/13/20 14:31,N/A,Agree
12/12/20,Wyoming,38907,33757,5150,122,24,321,321,0,0,0,12/13/20 14:31,Agree,Agree
12/12/20,Vermont,5626,,,85,-1,95,,,2,0,12/13/20 14:31,Not agree,Not agree
12/11/20,Maryland,232009,,,3538,0,5100,4937,163,36,0,12/12/20 14:59,N/A,Agree
12/11/20,Illinois,832951,832951,0,9420,0,15067,14050,1017,222,33,12/12/20 14:59,Agree,Agree
12/11/20,Idaho,119610,100082,19528,1582,385,1151,1036,115,15,2,12/12/20 14:59,Agree,Agree
12/11/20,New Hampshire,29460,,,1188,291,590,,,6,0,12/12/20 14:59,Not agree,Not agree
12/11/20,Missouri,382354,,,3868,690,4481,,,31,0,12/12/20 4:59,Not agree,Not agree
12/11/20,Indiana,412135,,,7200,0,6673,6373,300,70,-1,12/12/20 14:59,Not agree,Agree
12/11/20,California,1485703,,,35468,0,20622,,,159,0,12/12/20 14:59,Not agree,Not agree
12/11/20,Minnesota,370968,,,3750,283,4351,4186,165,94,4,12/12/20 14:59,N/A,Agree
12/11/20,Louisiana,264191,,,2862,671,6767,6465,302,43,4,12/12/20 14:59,Not agree,Agree
12/11/20,New Jersey,428581,,,4299,649,17662,15794,1868,54,0,12/11/20 0:00,Not agree,Agree
12/11/20,North Dakota,87590,85532,2058,377,51,1152,,,22,0,12/12/20 14:59,Agree,Not agree
12/11/20,South Carolina,252313,232176,20137,3644,468,4832,,,26,4,4/14/21 13:28,Agree,Not agree
12/11/20,Nevada,181310,,,2783,0,2479,,,45,0,12/12/20 14:59,,
12/11/20,Connecticut,146761,137791,8970,3782,277,5363,4332,1031,36,7,12/12/20 14:59,Agree,Agree
12/11/20,Alabama,288775,237879,50896,3853,966,4086,3612,474,52,9,12/12/20 14:59,Agree,Agree
12/11/20,Montana,71870,71870,0,978,0,805,805,0,24,0,12/12/20 14:59,Agree,Agree
12/11/20,New York,406146,,,7248,0,10669,,,71,0,12/12/20 14:59,Not agree,Not agree
12/11/20,Utah,228129,228129,0,2183,0,1025,1007,18,9,0,12/12/20 14:59,Agree,Agree
12/11/20,Texas,1448002,,,14451,2705,26461,,,228,0,12/12/20 0:00,Not agree,Not agree
12/11/20,Alaska,38584,,,622,0,157,,,3,0,12/12/20 14:59,N/A,N/A
12/11/20,Georgia,531593,466904,64689,6191,1462,10031,9175,856,56,4,12/12/20 14:59,Agree,Agree
12/11/20,Pennsylvania,470034,432023,38011,12745,2761,12235,,,225,-95,12/12/20 14:59,Agree,Not agree
12/11/20,Tennessee,436262,397443,38819,7289,979,5327,4787,540,87,22,12/12/20 14:59,Agree,Agree
12/11/20,New Mexico,116565,,,1834,0,1889,,,43,0,12/12/20 14:59,N/A,Not agree
12/11/20,South Dakota,89672,,,945,174,1210,993,217,33,16,12/12/20 14:59,N/A,Agree
12/11/20,Kansas,185294,158086,27208,5491,964,2072,,,131,23,12/12/20 14:59,Agree,N/A
12/11/20,West Virginia,60637,50804,9833,942,154,938,,,17,0,12/12/20 14:59,Agree,Not agree
12/11/20,Florida,1087956,,,11409,3380,19714,,,123,9,12/12/20 14:59,Not agree,Not agree
12/11/20,Colorado,281673,269963,11710,4678,218,3846,3283,563,87,14,12/12/20 14:59,Agree,Agree
12/11/20,Arkansas,181624,,,2770,832,2875,,,55,26,12/12/20 14:59,Not agree,Not agree
12/11/20,Hawaii,18665,,,79,0,267,,,1,0,12/12/20 14:59,Not agree,Not agree
12/11/20,Ohio,542209,497565,44644,22097,3411,7426,6864,562,239,50,12/12/20 14:59,Agree,Agree
12/11/20,Oklahoma,255837,215054,40783,3417,712,3463,3182,281,53,6,12/12/20 0:00,Agree,Agree
12/11/20,Iowa,253601,,,2215,679,3197,,,77,77,12/12/20 14:59,Not agree,Not agree
12/11/20,Massachusetts,279825,269929,9896,5475,0,11218,11010,208,47,0,12/12/20 14:59,Agree,Agree
12/11/20,Mississippi,177947,132930,45017,2665,1659,4180,3519,661,56,30,12/12/20 14:59,Agree,Agree
12/11/20,Delaware,44876,43157,1719,1840,75,815,718,97,9,0,12/12/20 14:59,Agree,Agree
12/11/20,North Carolina,423623,394742,28881,7540,904,5752,5528,224,38,7,12/12/20 14:59,Agree,Agree
12/11/20,Virginia,278615,241397,37218,4177,1061,4409,4005,404,39,7,12/12/20 14:59,Agree,Agree
12/11/20,Kentucky,217120,178047,39073,3670,894,2168,2052,116,22,9,12/12/20 14:59,Agree,Agree
12/11/20,Michigan,460346,426294,34052,5626,469,10965,10456,509,65,4,12/12/20 14:59,Agree,Agree
12/11/20,Rhode Island,72741,,,1261,0,1604,,,20,0,12/12/20 14:59,Not agree,N/A
12/11/20,Maine,15619,13687,1932,414,58,257,253,4,7,1,12/12/20 14:59,Agree,Agree
12/11/20,Wisconsin,461367,429957,31410,4478,620,4266,3991,275,57,10,12/12/20 14:59,Agree,Agree
12/11/20,Washington,195554,,,3141,0,2879,,,29,0,12/12/20 14:59,N/A,N/A
12/11/20,Oregon,91420,89700,1720,1582,0,1138,1123,15,15,0,12/12/20 14:59,Agree,Agree
12/11/20,Nebraska,146877,,,1103,0,1343,,,14,0,12/12/20 14:59,Not agree,Not agree
12/11/20,Wyoming,38785,33659,5126,562,106,321,321,0,22,0,12/12/20 14:59,Agree,Agree
12/11/20,Arizona,394512,379951,14561,6983,459,7245,6689,556,91,12,12/12/20 14:59,Agree,Agree
12/11/20,Vermont,5541,,,128,-1,93,,,4,0,12/12/20 14:59,Not agree,Not agree
12/10/20,Wyoming,38223,33203,5020,338,24,299,299,0,0,0,12/11/20 15:06,Agree,Agree
12/10/20,California,1450235,,,29677,0,20463,,,220,0,12/11/20 15:06,Not agree,Not agree
12/10/20,Nevada,178527,,,2193,0,2434,,,50,0,12/11/20 15:06,,
12/10/20,Idaho,118028,98885,19143,1825,390,1136,1023,113,33,16,12/11/20 15:06,Agree,Agree
12/10/20,North Carolina,416083,388106,27977,5556,858,5714,5497,217,53,9,12/11/20 15:06,Agree,Agree
12/10/20,Washington,192413,,,2550,0,2850,,,-166,0,12/11/20 15:06,N/A,N/A
12/10/20,South Carolina,248669,229000,19669,3780,542,4806,,,40,3,4/14/21 13:28,Agree,Not agree
12/10/20,Rhode Island,71480,,,1200,0,1584,,,26,0,12/11/20 15:06,Not agree,N/A
12/10/20,Minnesota,367218,,,3499,280,4257,4096,161,89,4,12/11/20 15:06,N/A,Agree
12/10/20,Mississippi,175282,131924,43358,2327,1207,4124,3493,631,41,18,12/11/20 15:06,Agree,Agree
12/10/20,Wisconsin,456889,426099,30790,4709,675,4209,3944,265,67,10,12/11/20 15:06,Agree,Agree
12/10/20,Maryland,228471,,,2616,0,5064,4901,163,52,1,12/11/20 15:06,N/A,Agree
12/10/20,Maine,15205,13331,1874,344,46,250,247,3,4,1,12/11/20 15:06,Agree,Agree
12/10/20,Georgia,525402,462175,63227,7623,1561,9975,9123,852,54,4,12/11/20 15:06,Agree,Agree
12/10/20,Hawaii,18586,,,116,0,266,,,2,0,12/11/20 15:06,Not agree,Not agree
12/10/20,Ohio,520112,478879,41233,0,0,7187,6675,512,0,0,12/11/20 15:06,Agree,Agree
12/10/20,Iowa,251386,,,2110,404,3120,,,99,99,12/11/20 15:06,Not agree,Not agree
12/10/20,New York,398898,,,6808,0,10598,,,77,0,12/11/20 15:06,Not agree,Not agree
12/10/20,Pennsylvania,457289,422039,35250,11972,906,12010,,,248,189,12/11/20 15:06,Agree,Not agree
12/10/20,Arkansas,178854,,,2202,498,2820,,,34,27,12/11/20 15:06,Not agree,Not agree
12/10/20,Kansas,179803,153559,26244,0,0,1941,,,0,0,12/11/20 15:06,Agree,N/A
12/10/20,New Mexico,114731,,,1781,0,1846,,,23,0,12/11/20 15:06,N/A,Not agree
12/10/20,West Virginia,59695,50016,9679,1233,216,921,,,20,-2,12/11/20 15:06,Agree,Not agree
12/10/20,South Dakota,88727,,,704,149,1177,976,201,30,15,12/11/20 15:06,N/A,Agree
12/10/20,Tennessee,428973,391133,37840,6011,826,5240,4722,518,69,25,12/11/20 15:06,Agree,Agree
12/10/20,Florida,1076547,,,11071,3707,19591,,,129,8,12/11/20 15:06,Not agree,Not agree
12/10/20,Texas,1433551,,,15299,2841,26233,,,228,0,12/11/20 0:00,Not agree,Not agree
12/10/20,Massachusetts,274350,264454,9896,5130,0,11171,10963,208,41,0,12/11/20 15:06,Agree,Agree
12/10/20,Colorado,276995,265503,11492,4649,156,3759,3210,549,120,10,12/11/20 15:06,Agree,Agree
12/10/20,Alaska,37962,,,620,0,154,,,5,0,12/11/20 15:06,N/A,N/A
12/10/20,Oklahoma,252420,212349,40071,3607,771,3410,3135,275,54,14,12/11/20 0:00,Agree,Agree
12/10/20,Utah,225946,225946,0,3401,0,1016,998,18,21,1,12/11/20 15:06,Agree,Agree
12/10/20,Vermont,5413,,,128,1,89,,,3,0,12/11/20 15:06,Not agree,Not agree
12/10/20,Louisiana,261329,,,2415,328,6724,6426,298,40,7,12/11/20 15:06,Not agree,Agree
12/10/20,Alabama,284922,234992,49930,4735,1282,4034,3569,465,49,5,12/11/20 15:06,Agree,Agree
12/10/20,Nebraska,145774,,,1850,0,1329,,,35,0,12/11/20 15:06,Not agree,Not agree
12/10/20,North Dakota,87213,85206,2007,506,35,1130,,,27,0,12/11/20 15:06,Agree,Not agree
12/10/20,Illinois,823531,823531,0,11101,0,14845,13861,984,232,37,12/11/20 15:06,Agree,Agree
12/10/20,New Jersey,424282,,,5803,683,17608,15740,1868,66,0,12/10/20 0:00,Not agree,Agree
12/10/20,Virginia,274438,238281,36157,3395,834,4370,3973,397,35,2,12/11/20 15:06,Agree,Agree
12/10/20,Connecticut,142979,134286,8693,2431,31,5327,4303,1024,42,3,12/11/20 15:06,Agree,Agree
12/10/20,Michigan,454720,421137,33583,6302,365,10900,10395,505,194,12,12/11/20 15:06,Agree,Agree
12/10/20,New Hampshire,28272,,,680,316,584,,,14,1,12/11/20 15:06,Not agree,Not agree
12/10/20,Oregon,89838,88118,1720,1551,0,1123,1108,15,13,0,12/11/20 15:06,Agree,Agree
12/10/20,Missouri,378486,,,3844,713,4450,,,67,0,12/11/20 5:06,Not agree,Not agree
12/10/20,Montana,70892,70892,0,759,0,781,781,0,10,0,12/11/20 15:06,Agree,Agree
12/10/20,Arizona,387529,373427,14102,4928,650,7154,6610,544,73,14,12/11/20 15:06,Agree,Agree
12/10/20,Kentucky,213450,175271,38179,4314,1118,2146,2039,107,28,3,12/11/20 15:06,Agree,Agree
12/10/20,Delaware,43036,41392,1644,643,34,806,709,97,3,1,12/11/20 15:06,Agree,Agree
12/10/20,Indiana,404935,,,6518,0,6603,6302,301,97,2,12/11/20 15:06,Not agree,Agree
12/9/20,Mississippi,172955,130804,42151,1371,1076,4083,3470,613,41,25,12/10/20 14:50,Agree,Agree
12/9/20,North Carolina,410527,383408,27119,6495,1013,5661,5453,208,56,4,12/10/20 14:50,Agree,Agree
12/9/20,Oregon,88287,86567,1720,1205,0,1110,1095,15,30,0,12/10/20 14:50,Agree,Agree
12/9/20,Rhode Island,70280,,,1398,0,1558,,,15,0,12/10/20 14:50,Not agree,N/A
12/9/20,Maryland,225855,,,3202,0,5012,4850,162,50,1,12/10/20 14:50,N/A,Agree
12/9/20,Nebraska,143924,,,1321,0,1294,,,17,0,12/10/20 14:50,Not agree,Not agree
12/9/20,Indiana,398417,,,5754,0,6506,6207,299,96,-2,12/10/20 14:50,Not agree,Agree
12/9/20,Vermont,5285,,,105,4,86,,,1,0,12/10/20 14:50,Not agree,Not agree
12/9/20,Florida,1065476,,,9411,5644,19462,,,84,15,12/10/20 14:50,Not agree,Not agree
12/9/20,Kansas,179803,153559,26244,5778,1301,1941,,,85,14,12/10/20 14:50,Agree,N/A
12/9/20,Iowa,249276,,,2465,680,3021,,,102,102,12/10/20 14:50,Not agree,Not agree
12/9/20,New York,392090,,,6858,0,10521,,,81,0,12/10/20 14:50,Not agree,Not agree
12/9/20,Georgia,517779,456113,61666,5512,1768,9921,9073,848,48,2,12/10/20 14:50,Agree,Agree
12/9/20,Utah,222545,222545,0,2574,0,995,978,17,23,0,12/10/20 14:50,Agree,Agree
12/9/20,Alaska,37342,,,584,0,149,,,4,0,12/10/20 14:50,N/A,N/A
12/9/20,New Mexico,112950,,,3003,0,1823,,,67,0,12/10/20 14:50,N/A,Not agree
12/9/20,Oklahoma,248813,209513,39300,3405,776,3356,3095,261,56,9,12/10/20 0:00,Agree,Agree
12/9/20,Tennessee,422962,385948,37014,8213,921,5171,4678,493,62,20,12/10/20 14:50,Agree,Agree
12/9/20,Ohio,520112,478879,41233,10094,1936,7187,6675,512,84,10,12/10/20 14:50,Agree,Agree
12/9/20,West Virginia,58462,48999,9463,1402,379,901,,,31,6,12/10/20 14:50,Agree,Not agree
12/9/20,Texas,1418252,,,13606,2428,26005,,,229,0,12/10/20 0:00,Not agree,Not agree
12/9/20,Pennsylvania,445317,410973,34344,8703,1028,11762,,,220,-172,12/10/20 14:50,Agree,Not agree
12/9/20,Hawaii,18470,,,73,0,264,,,4,0,12/10/20 14:50,Not agree,Not agree
12/9/20,South Dakota,88023,,,985,204,1147,961,186,36,4,12/10/20 14:50,N/A,Agree
12/9/20,Massachusetts,269220,259324,9896,5675,0,11130,10922,208,89,0,12/10/20 14:50,Agree,Agree
12/9/20,Arkansas,176652,,,2327,570,2786,,,34,3,12/10/20 14:50,Not agree,Not agree
12/9/20,Colorado,272346,261010,11336,3757,29,3639,3100,539,267,12,12/10/20 14:50,Agree,Agree
12/9/20,Illinois,812430,812430,0,8256,0,14613,13666,947,229,50,12/10/20 14:50,Agree,Agree
12/9/20,Michigan,448418,415200,33218,5342,437,10706,10213,493,81,6,12/10/20 14:50,Agree,Agree
12/9/20,Wyoming,37885,32889,4996,410,76,299,299,0,19,0,12/10/20 14:50,Agree,Agree
12/9/20,Alabama,280187,231539,48648,3522,990,3985,3525,460,43,14,12/10/20 14:50,Agree,Agree
12/9/20,Washington,189863,,,2536,0,3016,,,49,0,12/10/20 14:50,N/A,N/A
12/9/20,North Dakota,86707,84735,1972,557,50,1103,,,23,0,12/10/20 14:50,Agree,Not agree
12/9/20,Missouri,374642,,,3800,717,4383,,,28,0,12/10/20 4:50,Not agree,Not agree
12/9/20,Kentucky,209136,172075,37061,3468,962,2118,2014,104,16,1,12/10/20 14:50,Agree,Agree
12/9/20,California,1420558,,,30851,0,20243,,,196,0,12/10/20 14:50,Not agree,Not agree
12/9/20,Louisiana,258914,,,4352,1680,6684,6393,291,32,2,12/10/20 14:50,Not agree,Agree
12/9/20,Montana,70133,70133,0,787,0,771,771,0,8,0,12/10/20 14:50,Agree,Agree
12/9/20,New Hampshire,27592,,,969,346,570,,,4,1,12/10/20 14:50,Not agree,Not agree
12/9/20,Idaho,116203,97450,18753,2298,391,1103,1006,97,29,5,12/10/20 14:50,Agree,Agree
12/9/20,Wisconsin,452180,422065,30115,4171,552,4142,3887,255,88,7,12/10/20 14:50,Agree,Agree
12/9/20,Nevada,176334,,,3053,0,2384,,,25,0,12/10/20 14:50,,
12/9/20,South Carolina,244889,225762,19127,2459,504,4766,,,17,5,4/14/21 13:28,Agree,Not agree
12/9/20,Delaware,42393,40783,1610,0,0,803,707,96,0,0,12/10/20 14:50,Agree,Agree
12/9/20,Arizona,382601,369149,13452,4444,433,7081,6551,530,108,6,12/10/20 14:50,Agree,Agree
12/9/20,Minnesota,363719,,,4516,339,4168,4011,157,82,4,12/10/20 14:50,N/A,Agree
12/9/20,New Jersey,418479,,,5111,680,17542,15674,1868,116,32,12/9/20 0:00,Not agree,Agree
12/9/20,Connecticut,140548,131886,8662,2290,33,5285,4264,1021,43,7,12/10/20 14:50,Agree,Agree
12/9/20,Maine,14861,13033,1828,406,52,246,244,2,0,0,12/10/20 14:50,Agree,Agree
12/9/20,Virginia,271043,235720,35323,3914,1135,4335,3940,395,54,8,12/10/20 14:50,Agree,Agree
12/8/20,Maryland,222653,,,2692,0,4962,4801,161,46,0,12/9/20 14:45,N/A,Agree
12/8/20,New Hampshire,26623,,,807,279,566,,,0,0,12/9/20 14:45,Not agree,Not agree
12/8/20,Michigan,443076,410295,32781,6676,767,10625,10138,487,203,12,12/9/20 14:45,Agree,Agree
12/8/20,Vermont,5180,,,100,2,85,,,4,0,12/9/20 14:45,Not agree,Not agree
12/8/20,Indiana,392663,,,5385,0,6410,6109,301,126,3,12/9/20 14:45,Not agree,Agree
12/8/20,North Dakota,86150,84228,1922,2333,1922,1080,,,16,0,12/9/20 14:45,Agree,Not agree
12/8/20,Wisconsin,448009,418446,29563,4620,506,4054,3806,248,81,13,12/9/20 14:45,Agree,Agree
12/8/20,North Carolina,404032,377926,26106,4670,428,5605,5401,204,45,8,12/9/20 14:45,Agree,Agree
12/8/20,Rhode Island,68882,,,1360,0,1543,,,21,0,12/9/20 14:45,Not agree,N/A
12/8/20,Missouri,370842,,,4528,734,4355,,,161,0,12/9/20 4:45,Not agree,Not agree
12/8/20,California,1389707,,,23272,0,20047,,,112,0,12/9/20 14:45,Not agree,Not agree
12/8/20,Washington,187327,,,2923,0,2967,,,26,0,12/9/20 14:45,N/A,N/A
12/8/20,Oregon,87082,85362,1720,1294,0,1080,1065,15,35,0,12/9/20 14:45,Agree,Agree
12/8/20,New Jersey,413368,,,6166,690,17426,15590,1836,90,0,12/8/20 0:00,Not agree,Agree
12/8/20,Illinois,804174,804174,0,7910,0,14384,13487,897,168,24,12/9/20 14:45,Agree,Agree
12/8/20,Minnesota,359203,,,3051,172,4086,3933,153,22,2,12/9/20 14:45,N/A,Agree
12/8/20,New Mexico,109947,,,0,0,1756,,,0,0,12/9/20 14:45,N/A,Not agree
12/8/20,Colorado,268589,257282,11307,3971,178,3372,2845,527,14,10,12/9/20 14:45,Agree,Agree
12/8/20,Arkansas,174325,,,2283,846,2752,,,39,3,12/9/20 14:45,Not agree,Not agree
12/8/20,New York,385232,,,5874,0,10440,,,58,0,12/9/20 14:45,Not agree,Not agree
12/8/20,Iowa,246811,,,1526,709,2919,,,201,2919,12/9/20 14:45,Not agree,Not agree
12/8/20,West Virginia,57060,47976,9084,932,198,870,,,29,6,12/9/20 14:45,Agree,Not agree
12/8/20,Oklahoma,245408,206884,38524,3939,906,3300,3048,252,52,10,12/9/20 0:00,Agree,Agree
12/8/20,Kansas,174025,149082,24943,0,0,1856,,,0,0,12/9/20 14:45,Agree,N/A
12/8/20,Texas,1404646,,,19842,5560,25776,,,193,0,12/9/20 0:00,Not agree,Not agree
12/8/20,Hawaii,18397,,,53,0,260,,,0,0,12/9/20 14:45,Not agree,Not agree
12/8/20,Pennsylvania,436614,403298,33316,10170,1327,11542,,,169,67,12/9/20 14:45,Agree,Not agree
12/8/20,South Dakota,87038,,,538,33,1111,929,182,1,0,12/9/20 14:45,N/A,Agree
12/8/20,Utah,219971,219971,0,2333,0,972,955,17,23,-1,12/9/20 14:45,Agree,Agree
12/8/20,Ohio,510018,470721,39297,25721,13993,7103,6601,502,81,24,12/9/20 14:45,Agree,Agree
12/8/20,Alaska,36758,,,562,0,145,,,0,0,12/9/20 14:45,N/A,N/A
12/8/20,Tennessee,414749,378656,36093,6019,900,5109,4636,473,100,8,12/9/20 14:45,Agree,Agree
12/8/20,Massachusetts,263545,253649,9896,3627,0,11041,10833,208,40,0,12/9/20 14:45,Agree,Agree
12/8/20,Florida,1056065,,,7801,0,19378,,,96,0,12/9/20 14:45,Not agree,Not agree
12/8/20,Georgia,512267,452369,59898,5577,1891,9873,9027,846,22,2,12/9/20 14:45,Agree,Agree
12/8/20,South Carolina,242430,223807,18623,2637,406,4749,,,30,3,4/14/21 13:28,Agree,Not agree
12/8/20,Alabama,276665,229007,47658,4436,1218,3942,3496,446,50,19,12/9/20 14:45,Agree,Agree
12/8/20,Connecticut,138258,129629,8629,2414,196,5242,4228,1014,18,2,12/9/20 14:45,Agree,Agree
12/8/20,Idaho,113905,95543,18362,2012,425,1074,982,92,19,2,12/9/20 14:45,Agree,Agree
12/8/20,Nebraska,142603,,,1476,0,1277,,,41,0,12/9/20 14:45,Not agree,Not agree
12/8/20,Mississippi,171584,130509,41075,3658,1784,4042,3454,588,25,13,12/9/20 14:45,Agree,Agree
12/8/20,Louisiana,254562,,,2426,629,6652,6363,289,45,13,12/9/20 14:45,Not agree,Agree
12/8/20,Maine,14455,12679,1776,404,60,246,244,2,7,0,12/9/20 14:45,Agree,Agree
12/8/20,Arizona,378157,365138,13019,12314,311,6973,6449,524,23,5,12/9/20 14:45,Agree,Agree
12/8/20,Virginia,267129,232941,34188,4399,1011,4281,3894,387,21,2,12/9/20 14:45,Agree,Agree
12/8/20,Kentucky,205668,169569,36099,3076,884,2102,1999,103,20,1,12/9/20 14:45,Agree,Agree
12/8/20,Delaware,42393,40783,1610,1682,59,803,707,96,10,1,12/9/20 14:45,Agree,Agree
12/8/20,Montana,69346,69346,0,755,0,763,763,0,21,0,12/9/20 14:45,Agree,Agree
