Series ID,Year,Period,Label,Value
LASST170000000000003,2020,M01,2020 Jan,3.5
LASST170000000000003,2020,M02,2020 Feb,3.6
LASST170000000000003,2020,M03,2020 Mar,3.7
LASST170000000000003,2020,M04,2020 Apr,16.5
LASST170000000000003,2020,M05,2020 May,15.4
LASST170000000000003,2020,M06,2020 Jun,14.2
LASST170000000000003,2020,M07,2020 Jul,12.0
LASST170000000000003,2020,M08,2020 Aug,11.1
LASST170000000000003,2020,M09,2020 Sep,10.4
LASST170000000000003,2020,M10,2020 Oct,8.1
LASST170000000000003,2020,M11,2020 Nov,8.1
LASST170000000000003,2020,M12,2020 Dec,8.0
