,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
1,al,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
2,ar,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
3,az,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.054954739963101,,,state,usa-facts
4,ca,confirmed_cumulative_prop,2020-03-08,2021-02-10,339,0.331543,,,state,usa-facts
5,co,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.12155445222702,,,state,usa-facts
6,ct,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
7,dc,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.28338686983616,,,state,usa-facts
8,de,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
9,fl,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.041903856071987,,,state,usa-facts
10,ga,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.047092406509565,,,state,usa-facts
11,hi,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.070627853365276,,,state,usa-facts
12,ia,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
13,id,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
14,il,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.055240679299368,,,state,usa-facts
15,in,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.029707886805227,,,state,usa-facts
16,ks,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.034325170578935,,,state,usa-facts
17,ky,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
18,la,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
19,ma,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.31918738374144,,,state,usa-facts
20,md,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.08270368262958,,,state,usa-facts
21,me,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
22,mi,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
23,mn,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.017731653412847,,,state,usa-facts
24,mo,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.016293470163723,,,state,usa-facts
25,ms,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
26,mt,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
27,nc,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.019069259933464,,,state,usa-facts
28,nd,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
29,ne,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.051695402417691,,,state,usa-facts
30,nh,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.2941801603429,,,state,usa-facts
31,nj,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.056292423377568,,,state,usa-facts
32,nm,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
33,nv,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.12986355236553,,,state,usa-facts
34,ny,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.55002783295048,,,state,usa-facts
35,oh,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
36,ok,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.0252718556694,,,state,usa-facts
37,or,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.33193155476503,,,state,usa-facts
38,pa,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.046867717196133,,,state,usa-facts
39,ri,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.28318958315437,,,state,usa-facts
40,sc,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.13595627956806,,,state,usa-facts
41,sd,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
42,tn,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.043929177965007,,,state,usa-facts
43,tx,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.037936422762943,,,state,usa-facts
44,ut,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.031191924535505,,,state,usa-facts
45,va,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.023431498424407,,,state,usa-facts
46,vt,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,0.16025923533908,,,state,usa-facts
47,wa,confirmed_cumulative_prop,2020-03-08,2020-11-19,256,1.6021236280011,,,state,usa-facts
48,wi,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
49,wv,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
50,wy,confirmed_cumulative_prop,2020-03-08,2020-07-09,123,0.0,,,state,usa-facts
0,ak,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
1,al,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
2,ar,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
3,az,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.082432109944651,,,state,usa-facts
4,ca,confirmed_cumulative_prop,2020-03-09,2021-02-10,338,0.4909873,,,state,usa-facts
5,co,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.24310890445403,,,state,usa-facts
6,ct,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.028048232863161,,,state,usa-facts
7,dc,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.56677373967232,,,state,usa-facts
8,de,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
9,fl,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.065183776111981,,,state,usa-facts
10,ga,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.16011418213252,,,state,usa-facts
11,hi,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.14125570673055,,,state,usa-facts
12,ia,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.25356014288114,,,state,usa-facts
13,id,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
14,il,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.10258983298454,,,state,usa-facts
15,in,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.089123660415682,,,state,usa-facts
16,ks,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.034325170578935,,,state,usa-facts
17,ky,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.067149050523617,,,state,usa-facts
18,la,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.021510955314432,,,state,usa-facts
19,ma,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.59484921515449,,,state,usa-facts
20,md,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.13232589220733,,,state,usa-facts
21,me,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
22,mi,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
23,mn,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.017731653412847,,,state,usa-facts
24,mo,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.016293470163723,,,state,usa-facts
25,ms,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
26,mt,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
27,nc,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.066742409767122,,,state,usa-facts
28,nd,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
29,ne,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.20678160967076,,,state,usa-facts
30,nh,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.2941801603429,,,state,usa-facts
31,nj,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.1688772701327,,,state,usa-facts
32,nm,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
33,nv,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.12986355236553,,,state,usa-facts
34,ny,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.74536482035346,,,state,usa-facts
35,oh,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.025664935709336,,,state,usa-facts
36,ok,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.050543711338799,,,state,usa-facts
37,or,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.33193155476503,,,state,usa-facts
38,pa,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.093735434392265,,,state,usa-facts
39,ri,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.28318958315437,,,state,usa-facts
40,sc,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.17480093087322,,,state,usa-facts
41,sd,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.11303790500068,,,state,usa-facts
42,tn,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.043929177965007,,,state,usa-facts
43,tx,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.055180251291554,,,state,usa-facts
44,ut,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.062383849071011,,,state,usa-facts
45,va,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.070294495273222,,,state,usa-facts
46,vt,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.16025923533908,,,state,usa-facts
47,wa,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,2.1274100634113,,,state,usa-facts
48,wi,confirmed_cumulative_prop,2020-03-09,2020-11-19,255,0.051524843390239,,,state,usa-facts
49,wv,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
50,wy,confirmed_cumulative_prop,2020-03-09,2020-07-09,122,0.0,,,state,usa-facts
0,ak,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
1,al,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
2,ar,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
3,az,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.082432109944651,,,state,usa-facts
4,ca,confirmed_cumulative_prop,2020-03-10,2021-02-10,337,0.5593206,,,state,usa-facts
5,co,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.3125685914409,,,state,usa-facts
6,ct,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.056096465726322,,,state,usa-facts
7,dc,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.56677373967232,,,state,usa-facts
8,de,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
9,fl,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.11639960019997,,,state,usa-facts
10,ga,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.17895114473635,,,state,usa-facts
11,hi,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.14125570673055,,,state,usa-facts
12,ia,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.443730250042,,,state,usa-facts
13,id,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
14,il,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.14993898666971,,,state,usa-facts
15,in,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.14853943402614,,,state,usa-facts
16,ks,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.034325170578935,,,state,usa-facts
17,ky,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.089532067364823,,,state,usa-facts
18,la,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.10755477657216,,,state,usa-facts
19,ma,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,1.3347836047369,,,state,usa-facts
20,md,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.14886662873324,,,state,usa-facts
21,me,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
22,mi,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.020026320593156,,,state,usa-facts
23,mn,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.035463306825694,,,state,usa-facts
24,mo,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.016293470163723,,,state,usa-facts
25,ms,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
26,mt,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
27,nc,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.076277039733854,,,state,usa-facts
28,nd,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
29,ne,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.25847701208845,,,state,usa-facts
30,nh,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.36772520042862,,,state,usa-facts
31,nj,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.25894514753681,,,state,usa-facts
32,nm,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
33,nv,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.22726121663968,,,state,usa-facts
34,ny,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.88929733738723,,,state,usa-facts
35,oh,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.025664935709336,,,state,usa-facts
36,ok,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.050543711338799,,,state,usa-facts
37,or,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.35564095153396,,,state,usa-facts
38,pa,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.10935800679098,,,state,usa-facts
39,ri,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.47198263859062,,,state,usa-facts
40,sc,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.1942232565258,,,state,usa-facts
41,sd,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.56518952500342,,,state,usa-facts
42,tn,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.10250141525168,,,state,usa-facts
43,tx,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.072424079820165,,,state,usa-facts
44,ut,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.062383849071011,,,state,usa-facts
45,va,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.070294495273222,,,state,usa-facts
46,vt,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.16025923533908,,,state,usa-facts
47,wa,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,3.4800226345925,,,state,usa-facts
48,wi,confirmed_cumulative_prop,2020-03-10,2020-11-19,254,0.051524843390239,,,state,usa-facts
49,wv,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
50,wy,confirmed_cumulative_prop,2020-03-10,2020-07-09,121,0.0,,,state,usa-facts
0,ak,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,0.0,,,state,usa-facts
1,al,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,0.0,,,state,usa-facts
2,ar,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.033136678193812,,,state,usa-facts
3,az,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.13738684990775,,,state,usa-facts
4,ca,confirmed_cumulative_prop,2020-03-11,2021-02-11,337,0.7567279,,,state,usa-facts
5,co,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.4167581219212,,,state,usa-facts
6,ct,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.084144698589482,,,state,usa-facts
7,dc,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,1.4169343491808,,,state,usa-facts
8,de,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,0.0,,,state,usa-facts
9,fl,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.14899148825596,,,state,usa-facts
10,ga,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.30139140166121,,,state,usa-facts
11,hi,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.14125570673055,,,state,usa-facts
12,ia,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.443730250042,,,state,usa-facts
13,id,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,0.0,,,state,usa-facts
14,il,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.18939661474069,,,state,usa-facts
15,in,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.14853943402614,,,state,usa-facts
16,ks,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.034325170578935,,,state,usa-facts
17,ky,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.13429810104723,,,state,usa-facts
18,la,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.25813146377319,,,state,usa-facts
19,ma,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,1.3928176745081,,,state,usa-facts
20,md,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.19848883831099,,,state,usa-facts
21,me,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,0.0,,,state,usa-facts
22,mi,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.020026320593156,,,state,usa-facts
23,mn,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.05319496023854,,,state,usa-facts
24,mo,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.016293470163723,,,state,usa-facts
25,ms,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,0.0,,,state,usa-facts
26,mt,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,0.0,,,state,usa-facts
27,nc,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.15255407946771,,,state,usa-facts
28,nd,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,0.0,,,state,usa-facts
29,ne,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.51695402417691,,,state,usa-facts
30,nh,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.36772520042862,,,state,usa-facts
31,nj,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.25894514753681,,,state,usa-facts
32,nm,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.14307318336402,,,state,usa-facts
33,nv,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.22726121663968,,,state,usa-facts
34,ny,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,1.0640725366425,,,state,usa-facts
35,oh,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.034219914279115,,,state,usa-facts
36,ok,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.050543711338799,,,state,usa-facts
37,or,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.45047853860969,,,state,usa-facts
38,pa,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.14841443778775,,,state,usa-facts
39,ri,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.47198263859062,,,state,usa-facts
40,sc,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.23306790783097,,,state,usa-facts
41,sd,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.79126533500479,,,state,usa-facts
42,tn,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.11714447457335,,,state,usa-facts
43,tx,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.072424079820165,,,state,usa-facts
44,ut,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.062383849071011,,,state,usa-facts
45,va,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.070294495273222,,,state,usa-facts
46,vt,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.16025923533908,,,state,usa-facts
47,wa,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,4.793238723118,,,state,usa-facts
48,wi,confirmed_cumulative_prop,2020-03-11,2020-11-19,253,0.051524843390239,,,state,usa-facts
49,wv,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,0.0,,,state,usa-facts
50,wy,confirmed_cumulative_prop,2020-03-11,2020-07-09,120,0.0,,,state,usa-facts
0,ak,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.13669699061575,,,state,usa-facts
1,al,confirmed_cumulative_prop,2020-03-12,2020-07-09,119,0.0,,,state,usa-facts
2,ar,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.16568339096906,,,state,usa-facts
3,az,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.13738684990775,,,state,usa-facts
4,ca,confirmed_cumulative_prop,2020-03-12,2021-02-11,336,0.8225303,,,state,usa-facts
5,co,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.85088116558912,,,state,usa-facts
6,ct,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.1402411643158,,,state,usa-facts
7,dc,confirmed_cumulative_prop,2020-03-12,2020-07-09,119,1.4169343491808,,,state,usa-facts
8,de,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.41077714928874,,,state,usa-facts
9,fl,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.19555132833594,,,state,usa-facts
10,ga,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.40499469598225,,,state,usa-facts
11,hi,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.14125570673055,,,state,usa-facts
12,ia,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.50712028576228,,,state,usa-facts
13,id,confirmed_cumulative_prop,2020-03-12,2020-07-09,119,0.0,,,state,usa-facts
14,il,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.25252881965425,,,state,usa-facts
15,in,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.17824732083136,,,state,usa-facts
16,ks,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.17162585289468,,,state,usa-facts
17,ky,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.22383016841206,,,state,usa-facts
18,la,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.38719719565978,,,state,usa-facts
19,ma,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,1.5669198838216,,,state,usa-facts
20,md,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.19848883831099,,,state,usa-facts
21,me,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.074393027290338,,,state,usa-facts
22,mi,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.12015792355893,,,state,usa-facts
23,mn,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.17731653412847,,,state,usa-facts
24,mo,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.032586940327447,,,state,usa-facts
25,ms,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.033600468256126,,,state,usa-facts
26,mt,confirmed_cumulative_prop,2020-03-12,2020-07-09,119,0.0,,,state,usa-facts
27,nc,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.15255407946771,,,state,usa-facts
28,nd,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.13122291887012,,,state,usa-facts
29,ne,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.5686494265946,,,state,usa-facts
30,nh,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.44127024051434,,,state,usa-facts
31,nj,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.32649605558989,,,state,usa-facts
32,nm,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.2384553056067,,,state,usa-facts
33,nv,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.35712476900521,,,state,usa-facts
34,ny,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,1.6706452869991,,,state,usa-facts
35,oh,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.042774892848893,,,state,usa-facts
36,ok,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.075815567008199,,,state,usa-facts
37,or,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.56902552245434,,,state,usa-facts
38,pa,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.17184829638582,,,state,usa-facts
39,ri,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.47198263859062,,,state,usa-facts
40,sc,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.25249023348355,,,state,usa-facts
41,sd,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.90430324000547,,,state,usa-facts
42,tn,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.24893200846837,,,state,usa-facts
43,tx,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.079321611231609,,,state,usa-facts
44,ut,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.15595962267753,,,state,usa-facts
45,va,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.070294495273222,,,state,usa-facts
46,vt,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.32051847067817,,,state,usa-facts
47,wa,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,6.0013975245614,,,state,usa-facts
48,wi,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.10304968678048,,,state,usa-facts
49,wv,confirmed_cumulative_prop,2020-03-12,2020-07-09,119,0.0,,,state,usa-facts
50,wy,confirmed_cumulative_prop,2020-03-12,2020-11-19,252,0.17278349019195,,,state,usa-facts
0,ak,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.13669699061575,,,state,usa-facts
1,al,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.10197453288016,,,state,usa-facts
2,ar,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.2650934255505,,,state,usa-facts
3,az,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.13738684990775,,,state,usa-facts
4,ca,confirmed_cumulative_prop,2020-03-13,2021-02-10,334,1.0275301,,,state,usa-facts
5,co,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,1.3197340527505,,,state,usa-facts
6,ct,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.22438586290529,,,state,usa-facts
7,dc,confirmed_cumulative_prop,2020-03-13,2020-07-09,118,1.4169343491808,,,state,usa-facts
8,de,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.41077714928874,,,state,usa-facts
9,fl,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.29798297651191,,,state,usa-facts
10,ga,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.40499469598225,,,state,usa-facts
11,hi,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.14125570673055,,,state,usa-facts
12,ia,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.53881530362242,,,state,usa-facts
13,id,confirmed_cumulative_prop,2020-03-13,2020-07-09,118,0.0,,,state,usa-facts
14,il,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.36301017825299,,,state,usa-facts
15,in,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.17824732083136,,,state,usa-facts
16,ks,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.20595102347361,,,state,usa-facts
17,ky,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.29097921893567,,,state,usa-facts
18,la,confirmed_cumulative_prop,2020-03-13,2020-11-19,251,0.73137248069069,,,state,usa-facts
